Election_Cycle,Region,Elections,Report_Date,Keyword_1,Spend_USD_1,Keyword_2,Spend_USD_2,Keyword_3,Spend_USD_3,Keyword_4,Spend_USD_4,Keyword_5,Spend_USD_5,Keyword_6,Spend_USD_6
US-Federal-2018,US,US-Federal,2019-03-18,beto o rourke,559600,rick scott,296000,elizabeth warren,291000,beto,156400,vote,152400,ted cruz,150100
US-Federal-2018,US,US-Federal,2019-03-11,beto o rourke,496400,rick scott,295000,elizabeth warren,277800,ted cruz,150100,aclu,142700,vote,140400
US-Federal-2018,US,US-Federal,2019-02-24,beto o rourke,494600,rick scott,279700,elizabeth warren,255900,ted cruz,149300,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2019-02-18,beto o rourke,494600,rick scott,279700,elizabeth warren,241100,ted cruz,149300,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2019-02-11,beto o rourke,494600,rick scott,279700,elizabeth warren,224800,ted cruz,149000,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2019-02-04,beto o rourke,494600,rick scott,279700,elizabeth warren,178200,ted cruz,149000,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2019-01-28,beto o rourke,494600,rick scott,279700,elizabeth warren,165500,ted cruz,148900,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2019-01-21,beto o rourke,494600,rick scott,279700,elizabeth warren,149400,ted cruz,148800,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2019-01-14,beto o rourke,494600,rick scott,279700,ted cruz,148800,bill nelson,136300,elizabeth warren,136100,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2019-01-07,beto o rourke,494600,rick scott,279700,ted cruz,148800,bill nelson,136300,heidi heitkamp,129500,josh hawley,128900
US-Federal-2018,US,US-Federal,2018-12-10,beto o rourke,490200,rick scott,279600,ted cruz,148700,bill nelson,136200,josh hawley,128200,beto,125800
US-Federal-2018,US,US-Federal,2018-12-03,beto o rourke,494600,rick scott,279700,ted cruz,149400,bill nelson,136300,heidi heitkamp,129500,josh hawley,128900
US-Federal-2018,US,US-Federal,2018-11-26,beto o rourke,494600,rick scott,280200,ted cruz,148200,josh hawley,147900,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2018-11-19,beto o rourke,494600,rick scott,280200,ted cruz,148200,josh hawley,147900,bill nelson,136300,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2018-11-12,beto o rourke,494600,rick scott,279600,ted cruz,148200,josh hawley,147900,bill nelson,136200,heidi heitkamp,129500
US-Federal-2018,US,US-Federal,2018-11-05,beto o rourke,490400,rick scott,258900,ted cruz,143600,josh hawley,131600,beto,127600,heidi heitkamp,120600
US-Federal-2018,US,US-Federal,2018-10-29,beto o rourke,464600,rick scott,209000,beto,123500,ted cruz,122600,phil bredesen,113600,heidi heitkamp,105300
US-Federal-2018,US,US-Federal,2018-10-22,beto o rourke,390900,rick scott,177800,beto,99700,phil bredesen,94300,ted cruz,92100,heidi heitkamp,90900
US-Federal-2018,US,US-Federal,2018-10-15,beto o rourke,330700,rick scott,159400,phil bredesen,81000,heidi heitkamp,80200,ted cruz,71800,beto,69500
US-Federal-2018,US,US-Federal,2018-10-09,beto o rourke,287300,rick scott,144800,heidi heitkamp,74200,ted cruz,62200,phil bredesen,59600,josh hawley,59200
US-Federal-2018,US,US-Federal,2018-10-01,beto o rourke,232000,rick scott,129800,josh hawley,52400,aclu,51900,ted cruz,49700,bill nelson,48400
US-Federal-2018,US,US-Federal,2018-09-24,beto o rourke,199300,rick scott,113500,aclu,49700,ron desantis,44200,josh hawley,43800,bill nelson,38500
US-Federal-2018,US,US-Federal,2018-09-17,beto o rourke,165500,rick scott,107400,aclu,47500,ron desantis,43700,josh hawley,39500,diane black,37300
US-Federal-2018,US,US-Federal,2018-09-10,ron desantis,108900,rick scott,99500,beto o'rourke,71200,beto o rourke,59300,aclu,45600,diane black,37300
US-Federal-2018,US,US-Federal,2018-09-03,ron desantis,108400,rick scott,88800,beto o'rourke,59300,beto o rourke,48300,aclu,43700,diane black,37300
US-Federal-2018,US,US-Federal,2018-08-27,ron desantis,95800,rick scott,62300,beto o'rourke,45100,aclu,41500,diane black,37300,beto o rourke,35500
US-Federal-2018,US,US-Federal,2018-08-13,aclu,37500,diane black,37300,ron desantis,33700,beto o'rourke,29800,rick scott,28700,bill nelson,25200
