Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
US,US-AL,AL-2,67900,59750,4813750,118125,448700,1553000,451000,19327500,259300,287175,629250,51600
US,US-AL,AL-3,45900,40350,3252250,79800,303200,1049000,304500,13057500,175200,194025,425250,34850
US,US-AL,AL-4,39100,34450,2774250,68075,258600,895000,260000,11137500,149500,165525,363000,29750
US,US-AL,AL-5,57400,50550,4071500,99900,379500,1314000,381500,16342500,219300,242850,532500,43650
US,US-AL,AL-6,74300,65400,5271000,129350,491300,1701000,493500,21157500,284000,314400,689250,56500
US,US-AL,AL-7,48500,42650,3437500,84350,320400,1109000,322000,13800000,185200,205050,449250,36850
US,US-AR,AR-1,43200,38000,3060500,75100,285300,988000,286500,12285000,164900,182550,399750,32800
US,US-AR,AR-2,125400,110300,8888750,218125,828600,2868000,832500,35685000,478900,530250,1161750,95250
US,US-AR,AR-3,60700,53450,4307500,105700,401500,1390000,403500,17295000,232000,256950,563250,46150
US,US-AR,AR-4,39400,34650,2794000,68550,260400,902000,261500,11212500,150500,166650,365250,29950
US,US-AZ,AZ-1,596500,524950,42301250,1038000,3943200,13649000,3961000,169815000,2278800,2523375,5529750,453400
US,US-AZ,AZ-2,523200,460450,37102250,910425,3458500,11971000,3474000,148942500,1998700,2213250,4850250,397650
US,US-AZ,AZ-3,369200,324900,26180750,642425,2440500,8448000,2451500,105097500,1410400,1561800,3422250,280600
US,US-AZ,AZ-4,481800,424000,34163750,838325,3184600,11023000,3199000,137145000,1840400,2037975,4466250,366150
US,US-AZ,AZ-5,363100,319500,25746000,631750,2400000,8307000,2411000,103357500,1387000,1535850,3366000,275950
US,US-AZ,AZ-6,566300,498300,40154250,985300,3743100,12956000,3760000,161197500,2163200,2395350,5249250,430350
US,US-AZ,AZ-7,994600,875250,70526750,1730600,6574300,22756000,6604000,283117500,3799300,4207125,9219750,755900
US,US-AZ,AZ-8,433200,381200,30718000,753775,2863400,9912000,2876500,123315000,1654800,1832400,4015500,329250
US,US-AZ,AZ-9,422000,371350,29923500,734275,2789400,9655000,2802000,120127500,1612000,1785000,3912000,320700
US,US-CA,CA-1,69200,60950,4909500,120475,457700,1584000,459500,19710000,264500,292875,642000,52600
US,US-CA,CA-10,554300,487800,39305000,964475,3663900,12682000,3680500,157785000,2117400,2344650,5138250,421250
US,US-CA,CA-11,87900,77350,6231000,152900,580800,2010000,583500,25012500,335700,371700,814500,66800
US,US-CA,CA-12,171000,150450,12124500,297525,1130200,3912000,1135500,48675000,653200,723300,1584750,129950
US,US-CA,CA-13,121700,107100,8631500,211800,804600,2785000,808000,34650000,465000,514875,1128000,92500
US,US-CA,CA-14,75500,66450,5352500,131350,499000,1727000,501000,21487500,288400,319275,699750,57350
US,US-CA,CA-15,71700,63050,5081000,124675,473600,1639000,476000,20400000,273700,303075,664500,54450
US,US-CA,CA-16,61200,53900,4342000,106550,404700,1401000,406500,17430000,233900,258975,567750,46550
US,US-CA,CA-17,123100,108300,8725750,214100,813400,2815000,817000,35025000,470100,520500,1140750,93500
US,US-CA,CA-18,96700,85150,6859750,168325,639400,2213000,642500,27540000,369500,409200,897000,73500
US,US-CA,CA-19,64500,56750,4574500,112250,426400,1476000,428500,18367500,246400,272850,597750,49050
US,US-CA,CA-2,79900,70350,5667000,139050,528200,1828000,530500,22747500,305300,338025,741000,60750
US,US-CA,CA-20,72000,63400,5106750,125300,476000,1648000,478000,20497500,275100,304650,667500,54750
US,US-CA,CA-21,131600,115850,9333500,229025,870000,3012000,874000,37470000,502800,556800,1220250,100050
US,US-CA,CA-22,166800,146750,11825000,290175,1102300,3815000,1107500,47467500,637000,705375,1545750,126750
US,US-CA,CA-23,75400,66350,5346750,131200,498400,1725000,500500,21465000,288000,318975,699000,57300
US,US-CA,CA-24,78200,68850,5546000,136100,517000,1790000,519500,22267500,298800,330825,725250,59450
US,US-CA,CA-25,520800,458350,36932500,906250,3442700,11917000,3458500,148260000,1989600,2203125,4828500,395850
US,US-CA,CA-26,88400,77800,6269750,153850,584400,2023000,587000,25170000,337800,374025,819750,67200
US,US-CA,CA-27,76400,67200,5415750,132900,504800,1747000,507000,21742500,291800,323100,708000,58050
US,US-CA,CA-28,132300,116400,9380000,230175,874400,3027000,878500,37657500,505300,559575,1226250,100550
US,US-CA,CA-29,102400,90150,7264750,178275,677200,2344000,680500,29160000,391400,433350,949500,77850
US,US-CA,CA-3,59500,52400,4222250,103600,393600,1362000,395500,16950000,227500,251850,552000,45250
US,US-CA,CA-30,161700,142300,11466250,281350,1068800,3700000,1073500,46027500,617700,684000,1499250,122900
US,US-CA,CA-31,173100,152300,12271250,301125,1143900,3960000,1149000,49260000,661100,732000,1604250,131500
US,US-CA,CA-32,83900,73850,5950750,146025,554700,1920000,557000,23887500,320600,354975,777750,63800
US,US-CA,CA-33,120400,105900,8534000,209400,795500,2754000,799000,34260000,459700,509100,1116000,91450
US,US-CA,CA-34,106500,93750,7552750,185325,704000,2437000,707000,30322500,406900,450525,987000,80950
US,US-CA,CA-35,80300,70700,5695500,139750,530900,1838000,533500,22867500,306800,339750,744750,61050
US,US-CA,CA-36,90400,79550,6408500,157250,597400,2068000,600000,25725000,345200,382275,837750,68700
US,US-CA,CA-37,79200,69700,5616000,137800,523500,1812000,526000,22545000,302500,335025,734250,60200
US,US-CA,CA-38,62000,54600,4397750,107900,409900,1419000,412000,17655000,236900,262350,575250,47150
US,US-CA,CA-39,662700,583200,46992250,1153100,4380500,15163000,4400500,188647500,2531500,2803200,6143250,503650
US,US-CA,CA-4,94600,83250,6707250,164575,625200,2164000,628000,26925000,361300,400125,876750,71900
US,US-CA,CA-40,51100,45000,3624500,88950,337900,1170000,339500,14550000,195300,216225,474000,38850
US,US-CA,CA-41,72500,63750,5138750,126100,479000,1658000,481000,20625000,276800,306525,672000,55100
